sentence_id,tense,text,purpose,certainty
1,future,Such reforms should be directed at increasing competitiveness.,policy_action,uncertain
2,future,"In this regard, the actual impact of the new capital adequacy regime under of Basel II will have to be monitored very closely.",policy_action,certain
3,future,"To prepare for that possibility, central banks should take steps to strengthen their capacity to counter problems in the international circulation of liquidity.",policy_action,uncertain
4,future,Once adopting the euro they will participate in the decision making on monetary policy and all the other decisions in the Eurosystem.,policy_action,certain
5,future,"2] The FSB will produce a common lexicon of important terms, while the G7 Cyber Expert Group continues to work on third-party risks, cross-sector coordination and threat-led penetration testing, and will make proposals for G7 cross-border cyber crisis simulation exercises.",policy_action,certain
6,future,"At the same time, high public debt levels can impinge upon the health of the domestic banking sectors, given the exposure of euro area banks to paper issued by their governments and the link that the markets may make between the cost of funding banks and the cost of funding their respective sovereign.",economic_description,uncertain
7,future,They should become PEACH-compliant.,policy_action,uncertain
8,future,"On this basis, the new Member States and Europe as a whole will fully reap all the economic benefits we can expect from the enlargement.",economic_description,certain
9,future,"Despite the general progress towards price stability in recent years, maintaining low inflation or, in some cases, completing the disinflation process will be a challenging task for a number of new Member States.",economic_description,certain
10,future,Euro area countries and countries preparing for euro adoption should be aware that this requires the transfer of sovereignty to a central institution with much stronger powers.,policy_action,uncertain
11,future,"Our task will be easier if there is genuine cooperation within the private sector itself, between intermediaries in all euro area countries, to launch pan-European payment initiatives capable of offering services across the entire euro area, of strengthening the ability to compete with the major international operators and of consolidating Europe’s autonomy.",policy_action,uncertain
12,future,"In my presentation, I will first examine the extent of convergence in the euro area today as reflected in the inflation and output growth differentials between Member States.",non_policy,certain
13,future,"But in this case, the need for information will be very much driven by the nature of the stress.",economic_description,certain
14,future,Here I would like to draw your attention to the increased participation of financial investors – especially hedge funds and institutional investors – in commodity markets.,economic_description,certain
15,future,"Second, zero or negative interest rates may produce adverse effects on the profitability of commercial banks and financial intermediaries more broadly.",economic_description,uncertain
16,future,An enhanced system TARGET2 should be available from the start of 2007.,policy_action,uncertain
17,future,Even central banks’ efforts to continue to supply banknotes would not be enough to preserve that role in the face of insufficient demand for cash as a means of payment.,economic_description,certain
18,future,"Should we believe this not to be the case, we will examine how it can be enhanced to achieve our policy objective.",policy_action,uncertain
19,future,"This should not come as a surprise, since it is much easier to sustain a high level of employment protection in an industry if competitors are kept out of its market.",economic_description,uncertain
20,future,A new medium-term perspective should concentrate policies on medium-term objectives.,policy_action,uncertain
21,future,"This survey will assist the Central Bank community to improve their statistics in this field Moreover, in our collaboration spirit with the EPC we are currently conducting an ad-hoc collection of data on card transactions covering all card schemes operating in the EU.",policy_action,certain
22,future,Authorities have to cooperate with the IMF and international creditors.,policy_action,certain
23,future,The public at large should be confident that the members of the Governing Council are resolutely determined to do whatever it will be necessary to fulfil the ECB’s mandate of delivering price stability in the medium term and to maintain expectations firmly anchored at levels consistent with price stability.,policy_action,uncertain
24,future,They will improve their internal risk management processes and pay more attention to maturity mismatches.,policy_action,certain
25,future,"By encouraging more responsible behaviour on the part of investors, such an approach should make such cycles of boom-bust less likely.",policy_action,uncertain
26,future,I will review these arguments in turn.,non_policy,certain
27,future,It would not be excessive to say that regional connections in FrankfurtRhineMain have profoundly affected the globe.,economic_description,certain
28,future,"At the same time, and going forward, the emerging economies will be confronted with the challenges that have long concerned advanced economies: population ageing and, perhaps, reform fatigue.",economic_description,certain
29,future,The downside risks are related both to the pandemic and supply bottlenecks becoming more persistent than is currently expected.,economic_description,certain
30,future,"Second, it signalled to other policymakers that all ABSs should not be tarred with the same brush.",policy_action,certain
31,future,"Looking back at what is already history, I would like to express my gratitude to ISDA for its substantial contribution towards the smooth introduction of the euro on 1 January 1999.",non_policy,certain
32,future,"For all of us in Europe, the force to boot-strap ourselves out of the present hardships will come from inside.",economic_description,certain
33,future,"In this regard, countries in the euro area can take advantage of their high technological advancement and well-educated labour forces.",economic_description,uncertain
34,future,7] What started out as good market power could quickly become the bad market power creating dynamic inefficiencies.,economic_description,uncertain
35,future,The European Securitization Forum forecasts that securitization issuance volumes in the EU for 2008 will be EUR 272 billion or more than 40% lower than in 2007; for residential mortgage backed-securities the drop is predicted to be 50%.,economic_description,certain
36,future,The Eurosystem will initiate work together with market participants to develop action plans for harmonising both settlement-related processes and processes related to corporate actions.,policy_action,certain
37,future,"Risk will rise not only at the individual bank level, but also across the system as a whole.",economic_description,certain
38,future,"Financial institutions, whatever their size and interconnectedness should not cause undue distress to the functioning of the financial system and to the economy as a whole, if and when mismanagement drive them to bankruptcy.",policy_action,uncertain
39,future,"Therefore, under normal macroeconomic conditions, one of the anticipated consequences of securitisation should be an overall increase in the aggregate supply of loans.",economic_description,uncertain
40,future,"However, economic activity could outperform our expectations if consumers become more confident and save less than currently expected.",economic_description,uncertain
41,future,"Of course, both measures would tend also to enhance external competitiveness, but their positive effects do not depend on this latter channel.",economic_description,uncertain
42,future,Private longer-term inflation expectations must be securely anchored at levels consistent with price stability.,policy_action,certain
43,future,"Annual real GDP will increase by 2.4% in 2018, by 1.9% in 2019 and by 1.7% in 2020.",economic_description,certain
44,future,"Indeed, it is likely that a number of factors will weigh negatively on the economic outlook, making it difficult to achieve pre-crisis growth rates.",economic_description,uncertain
45,future,"To be eligible as collateral for Eurosystem credit operations, asset-backed-securities will need a rating that must be explained in a publicly available credit rating report, being a detailed pre-sale or new issue report, which should include inter alia a comprehensive analysis of structural and legal aspects and a detailed collateral pool assessment.",policy_action,uncertain
